0,That's great! I'm glad you were able to get it back in good shape.
1,That's great! I'm glad they were able to return it to you. What kind of fishing do you like to do?
2,I like to go fishing in the ocean. It's so peaceful and relaxing.
3,"That sounds like a lot of fun. I've never been fishing, but I've always wanted to."
4,I think I will. I think it would be nice to get away from the city for a bit.
5,"I work at a grocery store as a cashier. It's not the most glamorous job in the world, but it pays the bills."
6,That sounds like a good job to have. I bet you get to meet a lot of interesting people.
7,"Yes, I have a dog. He's a rescue dog and I love him so much."
8,I like it with cookie dough or cookies and cream. It's so good!
9,I love it with a strawberry shortcake or chocolate chip cookie shake.
10,That sounds really good. I'll have to try that sometime. Do you have a favorite ice cream flavor?
11,I like mint chocolate chip the best.  What is your favorite flavor of ice cream?
12,I really like cookie dough ice cream. It's so sweet and creamy. What's your favorite?
13,I really like Ben & Jerry's Cookie Dough.  It is one of the most popular ice cream brands in the world.
14,"I haven't seen the new one yet, but I'm looking forward to it as well."
15,I hope it's as good as the first one. It's been so long since I've seen it.
16,I'm sure it will be just as good. The first one was one of my favorite movies as a kid.
17,I loved that movie too. I can't wait to see it. I hope they do a good job.
18,"I hope so too, it's been a long time since they made a sequel to that one."
19,I know. It's been so long since I've seen that movie. I wonder if it's going to be as good as the original.
20,I really like first person shooters.  Do you have a favorite game that you play a lot?
21,That's pretty cool. I've never been able to figure out how to do any of those tricks.
22,"You should give it a try, it's a lot of fun. It's a great workout."
23,That's good to hear. I think I'll try it out this weekend. Thanks for the encouragement!
24,You're welcome! I'm sure you'll do great! Just keep at it and you'll see results in no time!
25,"Yes, I like to play video games. What about you? What do you do for fun?"
26,"Burritos are my favorite food, I could eat them every day of the week if I could."
27,I've never had one of those before. Do they have a lot of meat in them?
28,"Yes, it is a Mexican dish consisting of a corn or wheat tortilla folded or rolled around a filling."
29,That sounds really good. I love mexican food. Do you have a favorite kind of burrito?
30,"I love the Chipotle quesadillas, they are my favorite fast food burritos."
31,"They are really good, they have been around since 1972, they were founded in San Bernardino, California."
32,I will have to try them sometime. I know they are popular in Los Angeles and San Francisco.
33,"Thank you, I really appreciate that. It's nice to know there are still good people out there."
34,"I don't have a lot of spare time, but I do like to play video games. Do you have any hobbies?"
35,That's too bad. What are you studying? Are you in college or high school?
36,I am a senior in high school. I am studying business administration. What do you do?
37,I'm a student too. I'm studying to be an accountant. What kind of business do you want to be in?
38,I would like to own my own business someday. How long have you been studying accounting?
39,I agree. I think it's important to be happy with who you are and not what others think of you.
40,Single malt Scotch is one of my favorites as well. I like that it is aged in wooden casks.
41,"I agree, it's a great blend of malt and grain mash."
42,"That's right, it was first made in Scotland in the late 19th century."
43,"Aww, I'm sorry to hear that. I bet you miss him a lot. What happened to him?"
44,"I have never been to Mexico, but I would love to go one day. I hear the food is amazing!"
45,I'd love to visit Ireland.  I hear it's beautiful there.  Have you ever been?
46,"I know what you mean. They can be a lot of work, but it's worth it in the end."
47,"Thank you so much, I appreciate it. I hope I can find a home for him as well."
48,I like the fact that they play in the National Football League (NFL)
49,I didn't know that.  Are you a fan of any other teams in the NFL?
